card_id,disp_id,type,Issued
527,3348,Sliver,2022-12-14
172,1030,Gold,2022-12-14
886,7325,Gold,2022-12-15
479,3085,Gold,2022-12-16
691,4492,Gold,2022-12-16
560,3577,Gold,2022-12-17
452,2910,Gold,2022-12-19
506,3236,Diamond,2022-12-19
735,4772,Gold,2022-12-19
654,4230,Gold,2022-12-21
196,1197,Gold,2022-12-22
473,3063,Gold,2022-12-22
829,6255,Gold,2022-12-22
310,1947,Sliver,2022-12-23
76,464,Gold,2022-12-23
573,3638,Gold,2022-12-23
240,1459,Gold,2022-12-23
728,4725,Gold,2022-12-24
924,7862,Gold,2022-12-24
486,3128,Diamond,2022-12-25
1081,10696,Gold,2022-12-25
753,4974,Gold,2022-12-25
442,2796,Gold,2022-12-26
125,694,Diamond,2022-12-26
674,4360,Gold,2022-12-28
322,2063,Gold,2022-12-28
685,4467,Gold,2022-12-29
635,4083,Gold,2022-12-29
